3828278,3681194,91874
3831827,3682601,91881
3837207,3684938,91907
3846230,3688171,91931
3854529,3691302,91953
3863495,3694365,91972
3870095,3696882,91979
3876041,3698898,91985
3881633,3700954,91989
3889364,3703939,92042
3901978,3708909,92072
3914069,3713836,92098
3925190,3718769,92111
3933585,3722857,92125
3940212,3726142,92136
3947035,3729248,92173
3955434,3734019,92216
3970086,3741945,92240
3983999,3749240,92275
3996688,3757053,92313
4005510,3762864,92334
4013808,3768049,92353
4020587,3772940,92381
4029865,3779735,92427
4044777,3791145,92463
4058956,3801726,92513
4071643,3811559,92567
4080162,3819170,92607
4087125,3825211,92614
4093412,3831353,92640
4102252,3839936,92719
4115342,3852642,92801
4127174,3865677,92854
4137062,3877164,92886
4144165,3885599,92926
4149832,3893288,92967
4155160,3899807,92990
4162437,3909413,93078
4173627,3924261,93191
4183672,3936972,93252
4192606,3949019,93333
4199029,3957458,93388
4204282,3964344,93399
4209098,3970707,93430
4216507,3979581,93524
4228774,3992730,93593
4239773,4004984,93661
4249061,4015249,93738
4255543,4022677,93781
4260494,4028835,93792
4265001,4034434,93811
4272764,4042202,93902
4284391,4054175,93974
4295876,4064730,94053
4305634,4074264,94150
4312528,4081072,94184
4318437,4086645,94206
4323346,4091728,94233
4331274,4099324,94332
4343591,4112372,94407
4355169,4122768,94485
4366833,4132100,94561
4375253,4138661,94607
4382019,4143739,94623
4388581,4148381,94652
4399090,4155955,94744
4417771,4167417,94821
4435487,4178530,94905
4452547,4188009,95019
4464681,4194748,95081
4476078,4200501,95105
4485437,4205348,95148
4501034,4213095,95225
4527297,4225398,95402
4553744,4236568,95522
4577632,4247638,95640
4594059,4255607,95704
4607958,4261979,95735
4619273,4268098,95767
4635624,4280086,95887
4662181,4296880,96088
4697686,4312847,96235
